Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
109,Jonas Jerebko\jerebjo01,PF,22,DET,80,2232,13.9,0.545,0.191,0.292,9.9,16.5,13,4.2,1.9,1.1,10.8,15.7,,2.9,1.5,4.4,0.095,,-0.7,-0.6,-1.3,0.4
110,Jerryd Bayless\bayleje01,SG,21,POR,74,1304,14.3,0.534,0.19,0.501,1.7,9.8,5.7,22.1,1.1,0.3,13.8,24.9,,1.7,1,2.7,0.098,,-0.7,-1,-1.7,0.1
111,Raymond Felton\feltora01,PG,25,CHA,80,2643,15.2,0.525,0.184,0.204,2.5,10.5,6.6,29.5,2.5,0.7,15.4,19.2,,2.5,4,6.5,0.118,,0.1,1.5,1.6,2.3
112,Wilson Chandler\chandwi01,SG,22,NYK,65,2320,13.7,0.534,0.174,0.186,4.5,12.7,8.5,9.8,1,1.6,10.4,20.2,,1.8,0.9,2.7,0.057,,-1,-1.1,-2.1,0
113,Thaddeus Young\youngth01,PF,21,PHI,67,2145,14,0.523,0.17,0.203,7,12.3,9.6,7.5,2,0.6,12.5,21.5,,0.9,1.2,2.1,0.047,,-0.4,-1.5,-1.9,0.1
114,Monta Ellis\ellismo01,SG,24,GSW,64,2647,16.7,0.517,0.162,0.276,1.9,9,5.4,21.2,2.6,0.7,13.4,29.5,,0,1.3,1.3,0.023,,0.1,-1.5,-1.4,0.4
115,Dwyane Wade\wadedw01,SG,28,MIA,77,2792,28,0.562,0.161,0.465,4.5,11.1,7.8,36.4,2.7,2.4,12.2,34.9,,8.5,4.6,13,0.224,,7.1,2.1,9.2,7.9
116,Damien Wilkins\wilkida02,SF,30,MIN,80,1585,11.5,0.515,0.16,0.339,5,12.7,8.8,12.5,2.1,1.2,14.8,14.1,,0.9,1,1.9,0.056,,-2,0.7,-1.3,0.3
117,Rudy Gay\gayru01,SF,23,MEM,80,3175,16.2,0.535,0.157,0.311,4.2,13.2,8.7,7.8,1.9,1.5,10.3,22.5,,4,2.4,6.4,0.096,,0.8,-0.3,0.5,2
118,Terrence Williams\willite01,SF,22,NJN,78,1764,11.5,0.459,0.154,0.221,2.9,20.6,11.4,22.4,1.3,0.4,14.8,21.8,,-1.5,1.3,-0.3,-0.007,,-2,-0.8,-2.8,-0.4
119,Gerald Wallace\wallage01,SF,27,CHA,76,3119,18.3,0.586,0.148,0.577,5.9,23.2,14.7,9,2,2.2,13.1,20.3,,5.3,6.2,11.5,0.177,,1,1.7,2.7,3.7
120,Darren Collison\collida01,PG,22,NOH,76,2109,16.5,0.546,0.146,0.221,2.2,8.6,5.3,32.9,1.9,0.1,18.9,23.1,,1.9,1.1,2.9,0.067,,0.9,-1.8,-0.8,0.6
121,Jeff Teague\teaguje01,PG,21,ATL,71,719,11,0.459,0.141,0.216,0.8,10.2,5.4,25.1,2.5,1.2,16.7,19.1,,-0.2,0.8,0.6,0.042,,-3.8,0.3,-3.6,-0.3
122,Caron Butler\butleca01,SF-SG,29,TOT,74,2783,13.7,0.507,0.138,0.3,4.3,14.9,9.5,9.2,2.2,0.7,11.9,22.1,,0.6,2.9,3.5,0.061,,-1.3,0,-1.3,0.5
